GeneID	TPM
ENSG00000081026	0.06
ENSG00000081237	42.92
ENSG00000081248	0.00
ENSG00000081277	0.00
ENSG00000081692	1.51
ENSG00000081721	3.17
ENSG00000081870	3.78
ENSG00000081985	0.00
ENSG00000082482	0.00
ENSG00000082497	0.00
ENSG00000082512	0.93
ENSG00000083444	7.49
ENSG00000084070	8.38
ENSG00000084072	5.22
ENSG00000084073	9.31
ENSG00000084623	18.22
ENSG00000084628	0.00
ENSG00000084636	0.00
ENSG00000084652	5.66
ENSG00000085433	2.15
ENSG00000085465	0.14
ENSG00000085491	10.63
ENSG00000085552	0.03
ENSG00000085831	0.12
ENSG00000085832	5.37
ENSG00000085840	0.37
ENSG00000085998	3.70
ENSG00000085999	0.24
ENSG00000086015	1.87
ENSG00000086619	0.30
ENSG00000088035	1.10
ENSG00000088280	0.03
ENSG00000090020	1.16
ENSG00000090104	27.66
ENSG00000090273	4.31
ENSG00000090432	3.71
ENSG00000090621	20.43
ENSG00000090686	4.93
ENSG00000091483	19.64
ENSG00000092607	0.00
ENSG00000092621	14.52
ENSG00000092847	4.19
ENSG00000092850	0.01
ENSG00000092853	0.68
ENSG00000092969	0.08
ENSG00000092978	1.86
ENSG00000094963	0.00
ENSG00000094975	1.62
ENSG00000097021	3.97
ENSG00000097033	26.57
ENSG00000097046	0.20
ENSG00000097096	0.06
ENSG00000099260	0.00
ENSG00000107404	1.96
ENSG00000116128	0.13
ENSG00000116132	0.00
ENSG00000116133	20.40
ENSG00000116138	1.68
ENSG00000116141	0.00
ENSG00000116147	0.00
ENSG00000116151	0.56
ENSG00000116157	0.06
ENSG00000116161	11.42
ENSG00000116171	41.44
ENSG00000116183	0.02
ENSG00000116191	0.44
ENSG00000116194	0.00
ENSG00000116198	1.89
ENSG00000116199	3.02
ENSG00000116205	0.58
ENSG00000116209	49.31
ENSG00000116212	2.62
ENSG00000116213	1.73
ENSG00000116218	0.00
ENSG00000116221	9.45
ENSG00000116237	6.44
ENSG00000116251	33.08
ENSG00000116254	0.00
ENSG00000116260	8.64
ENSG00000116266	9.58
ENSG00000116273	0.92
ENSG00000116285	0.18
ENSG00000116288	21.61
ENSG00000116299	0.02
ENSG00000116329	0.00
ENSG00000116337	3.53
ENSG00000116350	4.79
ENSG00000116353	2.51
ENSG00000116396	0.24
ENSG00000116406	3.63
ENSG00000116455	3.00
ENSG00000116459	66.56
ENSG00000116473	18.86
ENSG00000116478	4.42
ENSG00000116489	41.32
ENSG00000116497	2.24
ENSG00000116514	1.50
ENSG00000116521	9.69
ENSG00000116525	0.11
ENSG00000116539	1.98
ENSG00000116544	0.00
ENSG00000116560	15.23
ENSG00000116574	0.67
ENSG00000116580	2.64
ENSG00000116584	20.20
ENSG00000116586	25.66
ENSG00000116604	1.80
ENSG00000116641	3.41
ENSG00000116649	2.29
ENSG00000116652	0.04
ENSG00000116661	0.01
ENSG00000116663	3.15
ENSG00000116667	2.52
ENSG00000116668	1.00
ENSG00000116670	7.40
ENSG00000116675	0.21
ENSG00000116678	2.06
ENSG00000116679	25.45
ENSG00000116685	6.13
ENSG00000116688	7.62
ENSG00000116690	0.01
ENSG00000116691	2.41
ENSG00000116698	1.96
ENSG00000116701	82.57
ENSG00000116703	0.00
ENSG00000116704	0.99
ENSG00000116711	0.94
ENSG00000116717	0.81
ENSG00000116721	0.00
ENSG00000116726	0.00
ENSG00000116729	1.01
ENSG00000116731	1.58
ENSG00000116741	3.53
ENSG00000116745	0.00
ENSG00000116747	6.58
ENSG00000116748	0.00
ENSG00000116750	3.85
ENSG00000116752	8.66
ENSG00000116754	13.27
ENSG00000116761	3.99
ENSG00000116771	0.01
ENSG00000116774	0.02
ENSG00000116783	0.18
ENSG00000116785	0.00
ENSG00000116786	11.13
ENSG00000116791	1.94
ENSG00000116793	1.97
ENSG00000116809	3.19
ENSG00000116815	9.36
ENSG00000116819	0.03
ENSG00000116824	0.00
ENSG00000116830	1.80
ENSG00000116833	0.00
ENSG00000116852	0.45
ENSG00000116857	2.50
ENSG00000116863	4.15
ENSG00000116871	9.40
ENSG00000116874	0.78
ENSG00000116882	0.00
ENSG00000116883	0.12
ENSG00000116885	1.16
ENSG00000116898	12.52
ENSG00000116903	1.73
ENSG00000116906	5.71
ENSG00000116918	7.39
ENSG00000116922	1.97
ENSG00000116954	7.56
ENSG00000116957	2.33
ENSG00000116962	0.09
ENSG00000116977	10.96
ENSG00000116981	0.00
ENSG00000116983	0.00
ENSG00000116984	4.15
ENSG00000116985	0.07
ENSG00000116990	2.07
ENSG00000116991	1.57
ENSG00000116996	0.00
ENSG00000117000	1.87
ENSG00000117009	5.37
ENSG00000117010	0.76
ENSG00000117013	0.06
ENSG00000117016	0.68
ENSG00000117020	2.28
ENSG00000117036	2.04
ENSG00000117054	14.40
ENSG00000117069	0.00
ENSG00000117090	0.02
ENSG00000117091	39.01
ENSG00000117114	0.00
ENSG00000117115	1.57
ENSG00000117118	43.03
ENSG00000117122	0.00
ENSG00000117133	6.76
ENSG00000117139	3.06
ENSG00000117143	2.65
ENSG00000117148	0.00
ENSG00000117151	6.21
ENSG00000117152	0.00
ENSG00000117153	4.04
ENSG00000117154	0.01
ENSG00000117155	1.40
ENSG00000117174	0.89
ENSG00000117215	0.00
ENSG00000117222	2.03
ENSG00000117226	3.56
ENSG00000117228	2.07
ENSG00000117242	0.46
ENSG00000117245	1.14
ENSG00000117262	2.21
ENSG00000117266	3.24
ENSG00000117280	3.73
ENSG00000117281	0.01
ENSG00000117298	3.70
ENSG00000117305	10.74
ENSG00000117308	7.72
ENSG00000117318	2.38
ENSG00000117322	0.01
ENSG00000117335	25.62
ENSG00000117360	4.95
ENSG00000117362	23.73
ENSG00000117385	3.15
ENSG00000117394	0.64
ENSG00000117395	4.63
ENSG00000117399	0.44
ENSG00000117400	0.00
ENSG00000117407	0.00
ENSG00000117408	3.30
ENSG00000117410	94.64
ENSG00000117411	1.67
ENSG00000117419	2.79
ENSG00000117425	0.10
ENSG00000117448	71.36
ENSG00000117450	137.72
ENSG00000117461	0.09
ENSG00000117472	0.00
ENSG00000117475	3.13
ENSG00000117477	0.00
ENSG00000117479	1.27
ENSG00000117480	0.12
ENSG00000117481	1.61
ENSG00000117500	22.59
ENSG00000117501	0.00
ENSG00000117505	7.99
ENSG00000117507	0.00
ENSG00000117519	0.02
ENSG00000117523	6.81
ENSG00000117525	2.26
ENSG00000117528	4.73
ENSG00000117533	1.38
ENSG00000117543	2.33
ENSG00000117560	0.00
ENSG00000117569	1.32
ENSG00000117586	0.14
ENSG00000117592	25.43
ENSG00000117593	3.44
ENSG00000117594	0.56
ENSG00000117595	0.18
ENSG00000117597	0.84
ENSG00000117598	0.00
ENSG00000117600	0.00
ENSG00000117601	0.01
ENSG00000117602	2.85
ENSG00000117614	10.02
ENSG00000117616	15.33
ENSG00000117620	2.10
ENSG00000117625	2.45
ENSG00000117632	7.70
ENSG00000117640	4.42
ENSG00000117643	0.49
ENSG00000117650	0.43
ENSG00000117676	50.27
ENSG00000117682	6.39
ENSG00000117691	14.13
ENSG00000117697	4.96
ENSG00000117707	0.00
ENSG00000117713	1.30
ENSG00000117724	0.78
ENSG00000117748	4.13
ENSG00000117751	3.40
ENSG00000117758	9.98
ENSG00000117791	0.47
ENSG00000117834	0.00
ENSG00000117859	12.31
ENSG00000117862	9.00
ENSG00000118193	0.21
ENSG00000118194	0.00
ENSG00000118197	1.84
ENSG00000118200	2.13
ENSG00000118217	4.87
ENSG00000118292	14.98
ENSG00000118298	0.00
ENSG00000118454	3.68
ENSG00000118473	0.00
ENSG00000118655	1.32
ENSG00000118729	0.00
ENSG00000118733	0.00
ENSG00000118873	4.07
ENSG00000119280	1.03
ENSG00000119283	0.00
ENSG00000119285	1.73
ENSG00000119535	12.26
ENSG00000120332	0.00
ENSG00000120333	2.52
ENSG00000120334	1.29
ENSG00000120337	0.04
ENSG00000120341	0.17
ENSG00000120370	2.85
ENSG00000120656	3.84
ENSG00000120937	0.00
ENSG00000120942	0.49
ENSG00000120948	7.01
ENSG00000120949	0.04
ENSG00000120952	0.00
ENSG00000121310	4.36
ENSG00000121446	0.00
ENSG00000121454	0.01
ENSG00000121481	1.61
ENSG00000121486	2.20
ENSG00000121634	0.00
ENSG00000121644	3.83
ENSG00000121753	0.00
ENSG00000121764	0.00
ENSG00000121766	4.73
ENSG00000121769	48.05
ENSG00000121774	5.67
ENSG00000121775	0.45
ENSG00000121851	3.71
ENSG00000121900	0.03
ENSG00000121903	0.39
ENSG00000121904	0.00
ENSG00000121905	0.00
ENSG00000121931	2.19
ENSG00000121933	0.65
ENSG00000121940	3.03
ENSG00000121957	0.66
ENSG00000122176	0.00
ENSG00000122180	0.00
ENSG00000122188	0.01
ENSG00000122218	20.71
ENSG00000122223	0.02
ENSG00000122224	3.80
ENSG00000122406	89.69
ENSG00000122417	2.72
ENSG00000122420	0.00
ENSG00000122432	0.76
ENSG00000122435	1.05
ENSG00000122477	0.28
ENSG00000122481	4.07
ENSG00000122482	5.15
ENSG00000122483	2.36
ENSG00000122484	1.82
ENSG00000123080	0.96
ENSG00000123091	8.83
ENSG00000123472	3.80
ENSG00000123473	0.40
ENSG00000123684	5.68
ENSG00000123685	0.94
ENSG00000123689	0.31
ENSG00000123836	1.32
ENSG00000123838	0.00
ENSG00000123843	0.00
ENSG00000125459	1.25
ENSG00000125462	0.00
ENSG00000125703	2.64
ENSG00000125944	7.89
ENSG00000125945	0.94
ENSG00000126067	7.50
ENSG00000126070	2.93
ENSG00000126088	17.55
ENSG00000126091	0.30
ENSG00000126106	3.67
ENSG00000126107	3.37
ENSG00000126698	14.56
ENSG00000126705	0.16
ENSG00000126709	39.41
ENSG00000127054	4.72
ENSG00000127074	0.09
ENSG00000127124	0.14
ENSG00000127125	15.08
ENSG00000127129	0.00
ENSG00000127423	0.09
ENSG00000127463	6.47
ENSG00000127472	0.00
ENSG00000127481	10.76
ENSG00000127483	10.59
ENSG00000127603	15.13
ENSG00000130695	1.35
ENSG00000130762	0.02
ENSG00000130764	2.94
ENSG00000130766	4.86
ENSG00000130768	0.00
ENSG00000130770	28.83
ENSG00000130772	3.60
ENSG00000130775	16.88
ENSG00000130939	4.33
ENSG00000130940	0.26
ENSG00000131233	0.00
ENSG00000131236	104.71
ENSG00000131238	108.53
ENSG00000131584	2.07
ENSG00000131591	0.63
ENSG00000131686	0.00
ENSG00000131697	0.31
ENSG00000131778	4.72
ENSG00000131779	2.99
ENSG00000131781	0.54
ENSG00000131788	0.63
ENSG00000131791	1.02
ENSG00000131910	0.00
ENSG00000131914	0.00
ENSG00000132122	0.39
ENSG00000132128	4.00
ENSG00000132185	0.10
ENSG00000132196	3.69
ENSG00000132485	6.08
ENSG00000132676	8.74
ENSG00000132677	0.01
ENSG00000132680	3.19
ENSG00000132681	0.04
ENSG00000132688	0.86
ENSG00000132692	0.01
ENSG00000132693	0.00
ENSG00000132694	8.48
ENSG00000132698	0.01
ENSG00000132702	0.00
ENSG00000132703	0.00
ENSG00000132704	0.00
ENSG00000132716	10.92
ENSG00000132718	0.94
ENSG00000132763	0.17
ENSG00000132768	1.16
ENSG00000132773	0.47
ENSG00000132780	4.31
ENSG00000132781	0.94
ENSG00000132849	0.24
ENSG00000132854	0.04
ENSG00000132855	0.00
ENSG00000132879	1.09
ENSG00000132881	0.16
ENSG00000132906	1.39
ENSG00000133019	0.00
ENSG00000133048	1224.08
ENSG00000133055	0.16
ENSG00000133056	1.14
ENSG00000133059	1.62
ENSG00000133063	426.37
ENSG00000133065	0.07
ENSG00000133067	0.00
ENSG00000133069	0.32
ENSG00000133216	0.56
ENSG00000133226	3.53
ENSG00000134183	0.01
ENSG00000134184	1.97
ENSG00000134186	3.24
ENSG00000134193	0.00
ENSG00000134198	0.01
ENSG00000134200	0.00
ENSG00000134201	0.00
ENSG00000134202	0.09
ENSG00000134207	0.00
ENSG00000134215	1.74
ENSG00000134216	0.00
ENSG00000134222	0.37
ENSG00000134240	0.00
ENSG00000134242	4.91
ENSG00000134243	16.77
ENSG00000134245	0.14
ENSG00000134247	1.38
ENSG00000134248	39.27
ENSG00000134249	0.00
ENSG00000134250	11.22
ENSG00000134253	0.06
ENSG00000134255	8.14
ENSG00000134256	0.49
ENSG00000134258	0.00
ENSG00000134259	0.00
ENSG00000134262	1.76
ENSG00000134365	0.00
ENSG00000134369	0.49
ENSG00000134371	3.25
ENSG00000134375	9.04
ENSG00000134376	0.01
ENSG00000134389	0.00
ENSG00000134644	5.51
ENSG00000134668	17.12
ENSG00000134684	26.23
ENSG00000134686	8.42
ENSG00000134690	0.33
ENSG00000134697	6.80
ENSG00000134698	4.80
ENSG00000134709	0.01
ENSG00000134716	0.01
ENSG00000134717	10.17
ENSG00000134744	1.75
ENSG00000134748	1.84
ENSG00000135744	0.00
ENSG00000135747	0.00
ENSG00000135749	0.82
ENSG00000135750	0.00
ENSG00000135763	0.52
ENSG00000135766	2.93
ENSG00000135773	0.00
ENSG00000135775	3.21
ENSG00000135776	3.96
ENSG00000135778	5.08
ENSG00000135801	2.54
ENSG00000135821	78.90
ENSG00000135823	4.19
ENSG00000135824	0.00
ENSG00000135828	3.16
ENSG00000135829	12.57
ENSG00000135835	0.02
ENSG00000135837	5.58
ENSG00000135838	46.06
ENSG00000135842	11.58
ENSG00000135845	2.63
ENSG00000135862	2.02
ENSG00000135870	1.97
ENSG00000136628	19.27
ENSG00000136630	3.87
ENSG00000136631	6.66
ENSG00000136634	2.12
ENSG00000136636	1.87
ENSG00000136643	2.13
ENSG00000137936	2.66
ENSG00000137941	0.02
ENSG00000137942	1.83
ENSG00000137944	3.51
ENSG00000137947	5.10
ENSG00000137948	0.00
ENSG00000137955	13.40
ENSG00000137959	0.31
ENSG00000137960	0.00
ENSG00000137962	0.01
ENSG00000137965	6.80
ENSG00000137968	0.00
ENSG00000137970	0.67
ENSG00000137975	0.00
ENSG00000137976	11.76
ENSG00000137992	1.36
ENSG00000137996	7.15
ENSG00000142224	0.01
ENSG00000142583	8.43
ENSG00000142599	1.76
ENSG00000142606	1.57
ENSG00000142609	0.00
ENSG00000142611	0.00
ENSG00000142615	0.00
ENSG00000142619	0.00
ENSG00000142621	0.10
ENSG00000142623	0.00
ENSG00000142627	0.01
ENSG00000142632	0.02
ENSG00000142634	11.17
ENSG00000142655	2.98
ENSG00000142657	72.66
ENSG00000142661	0.00
ENSG00000142669	121.13
ENSG00000142675	0.01
ENSG00000142676	172.59
ENSG00000142677	0.00
ENSG00000142684	0.53
ENSG00000142686	1.76
ENSG00000142687	3.76
ENSG00000142694	2.31
ENSG00000142698	0.00
ENSG00000142700	0.00
ENSG00000142733	1.85
ENSG00000142748	0.00
ENSG00000142751	2.22
ENSG00000142765	8.24
ENSG00000142784	2.68
ENSG00000142789	0.00
ENSG00000142794	0.91
ENSG00000142798	0.10
ENSG00000142856	2.04
ENSG00000142864	21.92
ENSG00000142867	3.24
ENSG00000142871	0.00
ENSG00000142875	19.87
ENSG00000142892	4.78
ENSG00000142910	0.00
ENSG00000142920	0.02
ENSG00000142937	155.76
ENSG00000142945	0.57
ENSG00000142949	0.06
ENSG00000142959	0.02
ENSG00000142961	1.69
ENSG00000142973	0.00
ENSG00000143001	0.00
ENSG00000143006	0.00
ENSG00000143013	9.97
ENSG00000143028	0.01
ENSG00000143032	0.00
ENSG00000143033	4.24
ENSG00000143036	0.00
ENSG00000143061	0.08
ENSG00000143067	3.80
ENSG00000143079	3.03
ENSG00000143093	3.93
ENSG00000143105	0.09
ENSG00000143106	10.66
ENSG00000143107	0.00
ENSG00000143110	11.34
ENSG00000143119	45.30
ENSG00000143125	0.01
ENSG00000143126	0.01
ENSG00000143127	0.00
ENSG00000143147	0.02
ENSG00000143149	13.42
ENSG00000143153	27.93
ENSG00000143155	4.77
ENSG00000143156	0.92
ENSG00000143157	4.82
ENSG00000143158	19.37
ENSG00000143162	45.93
ENSG00000143164	8.01
ENSG00000143167	0.06
ENSG00000143171	0.00
ENSG00000143178	0.33
ENSG00000143179	2.87
ENSG00000143183	10.39
ENSG00000143184	0.00
ENSG00000143185	0.00
ENSG00000143190	0.84
ENSG00000143194	0.00
ENSG00000143195	0.02
ENSG00000143196	0.00
ENSG00000143198	61.83
ENSG00000143199	0.02
ENSG00000143207	9.92
ENSG00000143217	1.06
ENSG00000143222	13.97
ENSG00000143224	1.61
ENSG00000143226	14.77
ENSG00000143228	0.45
ENSG00000143248	0.05
ENSG00000143252	9.76
ENSG00000143256	6.57
ENSG00000143257	0.05
ENSG00000143258	0.89
ENSG00000143278	0.00
ENSG00000143294	3.19
ENSG00000143297	0.00
ENSG00000143303	2.10
ENSG00000143314	4.32
ENSG00000143315	0.24
ENSG00000143318	0.02
ENSG00000143319	1.50
ENSG00000143320	135.18
ENSG00000143321	15.26
ENSG00000143322	7.29
ENSG00000143324	4.20
ENSG00000143333	2.47
ENSG00000143337	5.84
ENSG00000143340	0.00
ENSG00000143341	0.00
ENSG00000143344	2.53
ENSG00000143353	11.00
ENSG00000143355	0.00
ENSG00000143363	0.73
ENSG00000143365	0.00
ENSG00000143367	0.40
ENSG00000143368	1.76
ENSG00000143369	7.50
ENSG00000143373	1.47
ENSG00000143374	2.28
ENSG00000143375	0.00
ENSG00000143376	4.94
ENSG00000143379	3.95
ENSG00000143382	0.13
ENSG00000143384	10.66
ENSG00000143387	10.69
ENSG00000143390	3.19
ENSG00000143393	3.56
ENSG00000143398	3.24
ENSG00000143401	3.06
ENSG00000143409	3.72
ENSG00000143412	0.27
ENSG00000143416	0.00
ENSG00000143418	22.28
ENSG00000143420	13.13
ENSG00000143434	0.03
ENSG00000143436	7.19
ENSG00000143437	4.08
ENSG00000143442	2.18
ENSG00000143443	0.07
ENSG00000143450	0.30
ENSG00000143452	0.73
ENSG00000143457	0.68
ENSG00000143458	0.88
ENSG00000143469	0.00
ENSG00000143473	0.00
ENSG00000143476	0.61
ENSG00000143479	0.57
ENSG00000143486	4.25
ENSG00000143493	1.32
ENSG00000143494	0.00
ENSG00000143498	0.63
ENSG00000143499	4.17
ENSG00000143502	0.02
ENSG00000143507	3.53
ENSG00000143512	0.00
ENSG00000143514	5.17
ENSG00000143515	0.16
ENSG00000143520	0.00
ENSG00000143536	0.00
ENSG00000143537	10.31
ENSG00000143543	19.36
ENSG00000143545	10.11
ENSG00000143546	2.15
ENSG00000143549	94.65
ENSG00000143552	0.01
ENSG00000143553	8.73
ENSG00000143554	13.71
ENSG00000143556	0.00
ENSG00000143569	6.07
ENSG00000143570	10.83
ENSG00000143575	16.22
ENSG00000143578	0.88
ENSG00000143590	0.04
ENSG00000143595	0.00
ENSG00000143603	0.02
ENSG00000143612	33.00
ENSG00000143614	0.94
ENSG00000143621	14.97
ENSG00000143622	7.77
ENSG00000143624	2.08
ENSG00000143627	0.00
ENSG00000143630	0.08
ENSG00000143631	0.00
ENSG00000143632	0.00
ENSG00000143633	1.67
ENSG00000143641	5.00
ENSG00000143643	2.96
ENSG00000143653	13.21
ENSG00000143669	7.92
ENSG00000143674	0.16
ENSG00000143702	11.14
ENSG00000143740	2.55
ENSG00000143742	28.21
ENSG00000143748	2.34
ENSG00000143751	2.35
ENSG00000143753	10.54
ENSG00000143756	5.10
ENSG00000143761	48.14
ENSG00000143768	0.00
ENSG00000143771	12.59
ENSG00000143772	8.48
ENSG00000143774	39.34
ENSG00000143776	1.84
ENSG00000143786	8.74
ENSG00000143793	1.64
ENSG00000143799	5.89
ENSG00000143801	11.48
ENSG00000143811	6.38
ENSG00000143815	7.68
ENSG00000143816	0.01
ENSG00000143819	3.54
ENSG00000143839	0.00
ENSG00000143842	0.98
ENSG00000143845	0.68
ENSG00000143847	0.04
ENSG00000143850	0.05
ENSG00000143851	5.13
ENSG00000143858	0.00
ENSG00000143862	7.11
ENSG00000146463	4.10
ENSG00000149527	0.00
ENSG00000150337	17.42
ENSG00000150681	2.02
ENSG00000150732	0.00
ENSG00000151414	7.32
ENSG00000151418	0.00
ENSG00000152061	4.62
ENSG00000152078	0.00
ENSG00000152092	0.00
ENSG00000152104	0.02
ENSG00000152332	12.09
ENSG00000152382	1.24
ENSG00000152760	0.14
ENSG00000152763	0.38
ENSG00000152904	2.61
ENSG00000153029	10.87
ENSG00000153187	25.96
ENSG00000153207	4.23
ENSG00000153230	0.02
ENSG00000153363	0.67
ENSG00000153898	0.12
ENSG00000153904	0.08
ENSG00000153923	0.00
ENSG00000153936	6.76
ENSG00000154007	0.00
ENSG00000154027	0.92
ENSG00000154198	0.00
ENSG00000154222	5.23
ENSG00000154305	4.44
ENSG00000154309	0.40
ENSG00000154342	0.00
ENSG00000154358	0.24
ENSG00000154370	1.48
ENSG00000154380	0.04
ENSG00000154429	3.57
ENSG00000154451	1.66
ENSG00000154511	0.94
ENSG00000155363	4.52
ENSG00000155366	55.19
ENSG00000155367	0.06
ENSG00000155380	6.07
ENSG00000155761	0.00
ENSG00000155816	0.00
ENSG00000156097	0.02
ENSG00000156150	0.01
ENSG00000156171	22.31
ENSG00000156869	9.95
ENSG00000156875	8.93
ENSG00000156876	0.35
ENSG00000157060	0.00
ENSG00000157064	0.00
ENSG00000157077	0.22
ENSG00000157131	0.00
ENSG00000157181	2.62
ENSG00000157184	4.56
ENSG00000157191	21.84
ENSG00000157193	1.19
ENSG00000157211	0.02
ENSG00000157216	7.03
ENSG00000157330	0.00
ENSG00000157870	9.83
ENSG00000157873	33.82
ENSG00000157881	2.18
ENSG00000157911	2.61
ENSG00000157916	17.13
ENSG00000157933	0.39
ENSG00000157978	4.41
ENSG00000158006	2.20
ENSG00000158008	0.00
ENSG00000158014	0.00
ENSG00000158022	0.01
ENSG00000158055	0.00
ENSG00000158062	4.49
ENSG00000158109	3.85
ENSG00000158156	0.51
ENSG00000158161	2.10
ENSG00000158195	6.19
ENSG00000158246	0.00
ENSG00000158286	0.02
ENSG00000158292	0.12
ENSG00000158315	0.00
ENSG00000158473	0.14
ENSG00000158477	0.16
ENSG00000158481	0.03
ENSG00000158485	0.00
ENSG00000158488	0.01
ENSG00000158615	6.66
ENSG00000158710	26.32
ENSG00000158711	1.73
ENSG00000158714	14.78
ENSG00000158715	2.67
ENSG00000158716	10.75
ENSG00000158731	0.00
ENSG00000158747	0.42
ENSG00000158748	0.00
ENSG00000158764	0.00
ENSG00000158769	14.90
ENSG00000158773	9.94
ENSG00000158786	0.00
ENSG00000158793	7.60
ENSG00000158796	2.56
ENSG00000158816	0.00
ENSG00000158825	5.30
ENSG00000158828	14.67
ENSG00000158850	2.83
ENSG00000158859	0.00
ENSG00000158864	17.92
ENSG00000158869	135.68
ENSG00000158874	0.01
ENSG00000158882	1.88
ENSG00000158887	0.41
ENSG00000158966	0.01
ENSG00000159023	3.59
ENSG00000159164	0.00
ENSG00000159166	0.00
ENSG00000159173	0.03
ENSG00000159176	15.44
ENSG00000159189	1.26
ENSG00000159208	0.07
ENSG00000159214	0.56
ENSG00000159339	0.02
ENSG00000159346	19.89
ENSG00000159348	9.49
ENSG00000159352	20.73
ENSG00000159363	5.38
ENSG00000159377	26.46
ENSG00000159388	8.24
ENSG00000159409	0.00
ENSG00000159423	1.64
ENSG00000159445	1.93
ENSG00000159450	0.00
ENSG00000159455	0.00
ENSG00000159479	6.18
ENSG00000159516	0.00
ENSG00000159527	0.00
ENSG00000159588	0.20
ENSG00000159592	15.48
ENSG00000159596	3.58
ENSG00000159658	9.84
ENSG00000160049	2.95
ENSG00000160050	0.11
ENSG00000160051	0.04
ENSG00000160055	2.05
ENSG00000160058	4.71
ENSG00000160062	0.35
ENSG00000160072	1.18
ENSG00000160075	13.46
ENSG00000160087	3.88
ENSG00000160094	1.04
ENSG00000160097	0.01
ENSG00000160678	0.17
ENSG00000160679	5.34
ENSG00000160685	5.66
ENSG00000160688	2.78
ENSG00000160691	4.38
ENSG00000160710	11.91
